date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:25	5914/5914	---MCZ	200	added ('OK')	text/html	etag:W/%2268a5d870-171a%22	https://docs.exads.com/	C:/My%20Websites/doc/https://gatherstar.io/doc/gatherstar/index.html	(from )
10:44:25	106/106	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Aug%202025%2002:44:25%20GMT	https://docs.exads.com/robots.txt		(from )
10:44:26	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Aug%202025%2002:44:26%20GMT	https://docs.exads.com/img/docusaurus.png	C:/My%20Websites/doc/gatherstar/img/docusaurus.png	(from https://docs.exads.com/)
10:44:26	1024/1024	---M--	200	added ('OK')	image/png	etag:%2268a5d86f-400%22	https://docs.exads.com/img/favicon.png	C:/My%20Websites/doc/gatherstar/img/favicon.png	(from https://docs.exads.com/)
10:44:28	11487/11487	---MCZ	200	added ('OK')	text/css	etag:W/%222cdf-U3MyyRBy2JfHG48yMSCgI5Q9ANY%22	https://cdn.jsdelivr.net/docsearch.js/1/docsearch.min.css	C:/My%20Websites/doc/cdn.jsdelivr.net/docsearch.js/1/docsearch.min.css	(from https://docs.exads.com/)
10:44:28	776/776	---M-Z	200	added ('OK')	text/css	etag:%225eb03e7a-308%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/default.min.css	C:/My%20Websites/doc/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/default.min.css	(from https://docs.exads.com/)
10:44:29	17400/17400	---MCZ	200	added ('OK')	application/javascript	etag:0x8DC7658DA1190B7	https://cdn.cookielaw.org/consent/ddf2749f-45af-42cb-91a1-cca420436707/OtAutoBlock.js	C:/My%20Websites/doc/cdn.cookielaw.org/consent/ddf2749f-45af-42cb-91a1-cca420436707/OtAutoBlock.js	(from https://docs.exads.com/)
10:44:29	30/30	---M--	200	added ('OK')	application/javascript	etag:%2268a5d86f-1e%22	https://docs.exads.com/js/cookielaw.js	C:/My%20Websites/doc/gatherstar/js/cookielaw.js	(from https://docs.exads.com/)
10:44:30	4088/4088	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268a5d86f-ff8%22	https://docs.exads.com/js/postback.js	C:/My%20Websites/doc/gatherstar/js/postback.js	(from https://docs.exads.com/)
10:44:30	25884/25884	---M-Z	200	added ('OK')	application/javascript	etag:0x8DDE469B394AC2D	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/My%20Websites/doc/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://docs.exads.com/)
10:44:30	2664/2664	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268a5d86f-a68%22	https://docs.exads.com/js/scrollSpy.js	C:/My%20Websites/doc/gatherstar/js/scrollSpy.js	(from https://docs.exads.com/)
10:44:32	33930/33930	---MCZ	200	added ('OK')	text/css	etag:W/%2268a5d870-848a%22	https://docs.exads.com/css/main.css	C:/My%20Websites/doc/gatherstar/css/main.css	(from https://docs.exads.com/)
10:44:33	1058/1058	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268a5d86f-422%22	https://docs.exads.com/js/codetabs.js	C:/My%20Websites/doc/gatherstar/js/codetabs.js	(from https://docs.exads.com/)
10:44:33	5274/5274	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268a5d86f-149a%22	https://docs.exads.com/img/exads.svg	C:/My%20Websites/doc/gatherstar/img/exads.svg	(from https://docs.exads.com/)
10:44:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Aug%202025%2002:44:33%20GMT	https://docs.exads.com/docs/introduction	C:/My%20Websites/doc/gatherstar/docs/introduction	(from https://docs.exads.com/)
10:44:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Aug%202025%2002:44:34%20GMT	https://docs.exads.com/docs/advertisers-introduction	C:/My%20Websites/doc/gatherstar/docs/advertisers-introduction	(from https://docs.exads.com/)
10:44:34	9942/9942	---MCZ	200	added ('OK')	text/html	etag:W/%2268a5d86b-26d6%22	https://docs.exads.com/docs/introduction/	C:/My%20Websites/doc/gatherstar/docs/introduction/index.html	(from https://docs.exads.com/)
10:44:34	14555/14555	---MCZ	200	added ('OK')	text/html	etag:W/%2268a5d867-38db%22	https://docs.exads.com/docs/advertisers-introduction/	C:/My%20Websites/doc/gatherstar/docs/advertisers-introduction/index.html	(from https://docs.exads.com/)
10:44:36	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Aug%202025%2002:44:36%20GMT	https://docs.exads.com/docs/publishers-introduction	C:/My%20Websites/doc/gatherstar/docs/publishers-introduction.e.delayed	(from https://docs.exads.com/)
10:44:36	15773/15773	---MCZ	200	added ('OK')	text/html	etag:W/%2268a5d86c-3d9d%22	https://docs.exads.com/docs/publishers-introduction/	C:/My%20Websites/doc/gatherstar/docs/publishers-introduction/index.html	(from https://docs.exads.com/)
10:44:36	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Aug%202025%2002:44:36%20GMT	https://docs.exads.com/docs/rtb-demand	C:/My%20Websites/doc/gatherstar/docs/rtb-demand	(from https://docs.exads.com/)
10:44:37	17062/17062	---MCZ	200	added ('OK')	text/html	etag:W/%2268a5d86d-42a6%22	https://docs.exads.com/docs/rtb-demand/	C:/My%20Websites/doc/gatherstar/docs/rtb-demand/index.html	(from https://docs.exads.com/)
10:44:37	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Aug%202025%2002:44:37%20GMT	https://docs.exads.com/docs/api-manual-overview	C:/My%20Websites/doc/gatherstar/docs/api-manual-overview	(from https://docs.exads.com/)
10:44:37	10821/10821	---MCZ	200	added ('OK')	text/html	etag:W/%2268a5d867-2a45%22	https://docs.exads.com/docs/api-manual-overview/	C:/My%20Websites/doc/gatherstar/docs/api-manual-overview/index.html	(from https://docs.exads.com/)
10:44:37	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Aug%202025%2002:44:37%20GMT	https://docs.exads.com/docs/api-manual-overview	C:/My%20Websites/doc/gatherstar/docs/api-manual-overview	(from https://docs.exads.com/)
10:44:37	28530/28530	---MCZ	200	added ('OK')	text/html	etag:W/%2268a5d86a-6f72%22	https://docs.exads.com/docs/api-manual-overview/	C:/My%20Websites/doc/gatherstar/docs/api-manual-overview/index.html	(from https://docs.exads.com/)
